2022-12-29 11:29:11 | INFO     | DF | Running on torch 1.13.0+cu117
2022-12-29 11:29:11 | INFO     | DF | Running on host desktop-manjaro
2022-12-29 11:29:11 | INFO     | DF | Loading model settings of output
2022-12-29 11:29:11 | INFO     | DF | Running on device cuda:0
2022-12-29 11:29:11 | INFO     | DF | Initializing model `deepfilternet`
2022-12-29 11:29:13 | INFO     | DF | Initializing dataloader with data directory /home/peterrc/Documents/train/
2022-12-29 11:29:13 | INFO     | DF | Loading HDF5 key cache from /home/peterrc/Documents/train/.cache_dataset.cfg
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:42:44 | INFO     | DF | [0] [12300/19999] | loss:  0.01189 | lr:  1.820E-04
2022-12-29 11:42:51 | INFO     | DF | [0] [12400/19999] | loss:  0.01112 | lr:  1.827E-04
2022-12-29 11:42:58 | INFO     | DF | [0] [12500/19999] | loss:  0.01147 | lr:  1.833E-04
2022-12-29 11:43:04 | INFO     | DF | [0] [12600/19999] | loss:  0.01095 | lr:  1.840E-04
2022-12-29 11:43:11 | INFO     | DF | [0] [12700/19999] | loss:  0.01120 | lr:  1.847E-04
2022-12-29 11:43:18 | INFO     | DF | [0] [12800/19999] | loss:  0.01189 | lr:  1.853E-04
2022-12-29 11:43:24 | INFO     | DF | [0] [12900/19999] | loss:  0.00969 | lr:  1.860E-04
2022-12-29 11:43:31 | INFO     | DF | [0] [13000/19999] | loss:  0.01200 | lr:  1.867E-04
2022-12-29 11:43:38 | INFO     | DF | [0] [13100/19999] | loss:  0.01257 | lr:  1.873E-04
2022-12-29 11:43:45 | INFO     | DF | [0] [13200/19999] | loss:  0.01054 | lr:  1.880E-04
2022-12-29 11:43:52 | INFO     | DF | [0] [13300/19999] | loss:  0.01203 | lr:  1.887E-04
2022-12-29 11:43:58 | INFO     | DF | [0] [13400/19999] | loss:  0.01015 | lr:  1.893E-04
2022-12-29 11:44:05 | INFO     | DF | [0] [13500/19999] | loss:  0.01055 | lr:  1.900E-04
2022-12-29 11:44:12 | INFO     | DF | [0] [13600/19999] | loss:  0.01453 | lr:  1.907E-04
2022-12-29 11:44:18 | INFO     | DF | [0] [13700/19999] | loss:  0.01057 | lr:  1.913E-04
2022-12-29 11:44:25 | INFO     | DF | [0] [13800/19999] | loss:  0.01321 | lr:  1.920E-04
